MessageType,Seconds,Nanoseconds,r,theta,color,Latitude,Longitude,Position.x,Position.y,Position.z,Orientation.x,Orientation.y,Orientation.z,Orientation.w,LinearAccel.x,LinearAccel.y,LinearAccel.z,LeftFrontSpeed,LeftBackSpeed,RightFrontSpeed,RightBackSpeed
Cones,215,738000000,13.38316307924548,0.2258394915406846,2.0,,,,,,,,,,,,,,,,
Cones,215,738000000,9.58638669363292,0.3280279093121199,2.0,,,,,,,,,,,,,,,,
Cones,215,738000000,6.733833226345562,0.4268177712182629,2.0,,,,,,,,,,,,,,,,
Cones,215,738000000,2.209469778633562,1.4392133447197912,2.0,,,,,,,,,,,,,,,,
Cones,215,738000000,12.861076805931642,-0.1498426753255899,1.0,,,,,,,,,,,,,,,,
Cones,215,738000000,9.056790273471744,-0.2029181832599327,1.0,,,,,,,,,,,,,,,,
Cones,215,738000000,6.40261823724225,-0.2971488935995332,1.0,,,,,,,,,,,,,,,,
Cones,215,738000000,2.794674835879885,-1.283290472552284,1.0,,,,,,,,,,,,,,,,
Cones,215,738000000,3.566150369416309,-0.5638204213923701,0.0,,,,,,,,,,,,,,,,
Cones,215,738000000,3.8881848784329183,-0.5096569752940177,0.0,,,,,,,,,,,,,,,,
Cones,215,738000000,4.04717123882194,0.7293867497420419,0.0,,,,,,,,,,,,,,,,
Cones,215,738000000,4.305135444078831,0.6858431007985137,0.0,,,,,,,,,,,,,,,,
Imu,215,738000000,,,,,,,,,4.4317767115238464e-08,-9.689063646573094e-06,7.467348582721146e-10,0.99999999995306,0.0977324101476342,0.0149502525820531,9.84508877224043,,,,
CarState,215,739000000,,,,,,0.0,0.0,0.2577076865598947,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,739000000,,,,,,,,,4.4317767161901946e-08,-9.689063646570798e-06,7.467348707126286e-10,0.99999999995306,0.0585490975950903,0.1980492203380957,9.623638160943392,,,,
WheelSpeeds,215,739000000,,,,,,,,,,,,,,,,1000.6506958007812,0.9402055144309998,998.2210693359376,-0.8195971846580505
Imu,215,740000000,,,,,,,,,4.431776720553291e-08,-9.689063646572802e-06,7.467348822781338e-10,0.99999999995306,-0.1885706176228293,0.0185242429695898,9.845823307429043,,,,
Imu,215,741000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0408545545050206,0.0059816892241994,9.842164006454468,,,,
Imu,215,742000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0225275500798834,-0.0238038132142203,9.898240528497912,,,,
Imu,215,743000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0776447959854118,-0.1781182753347866,9.760620289928614,,,,
CarState,215,744000000,,,,,,0.0,0.0,0.2577076865598947,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,744000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.1273957102542362,-0.1215280691098836,9.946432577526114,,,,
WheelSpeeds,215,744000000,,,,,,,,,,,,,,,,1001.395751953125,-0.8275225162506104,997.832763671875,0.4594186246395111
Imu,215,745000000,,,,,,,,,4.4317767431798135e-08,-9.689063646573988e-06,7.467349425565074e-10,0.99999999995306,0.0256937489200961,-0.0526146492899334,9.682172015957017,,,,
Imu,215,746000000,,,,,,,,,4.4317767478817344e-08,-9.689063646570936e-06,7.4673495510717e-10,0.99999999995306,-0.0377337387811128,-0.0349146012673679,9.794126551632676,,,,
Imu,215,747000000,,,,,,,,,4.431776752339572e-08,-9.689063646572172e-06,7.46734966980862e-10,0.99999999995306,0.0077039525072369,0.0495619426622611,9.821809411886855,,,,
Imu,215,748000000,,,,,,,,,4.431776756873738e-08,-9.689063646570244e-06,7.467349790451305e-10,0.99999999995306,0.0340157999858866,-0.0354972880278834,9.966217149642818,,,,
CarState,215,749000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,749000000,,,,,,,,,4.4317767614835874e-08,-9.6890636465544e-06,7.467349913594616e-10,0.99999999995306,-0.0263828733511347,0.0518580896271496,9.767257611843403,,,,
WheelSpeeds,215,749000000,,,,,,,,,,,,,,,,998.0398559570312,-0.0804420039057731,998.2376708984376,-1.887794852256775
Imu,215,750000000,,,,,,,,,4.431776765877423e-08,-9.68906364655891e-06,7.467350029941887e-10,0.99999999995306,0.0285367986629473,-0.1536494414429514,9.68619952159821,,,,
Imu,215,751000000,,,,,,,,,4.4317767705021655e-08,-9.68906364655583e-06,7.467350153727143e-10,0.99999999995306,-0.038396209826942,-0.0125681346839424,9.869782230143334,,,,
Imu,215,752000000,,,,,,,,,4.4317767749704714e-08,-9.689063646557071e-06,7.467350272700788e-10,0.99999999995306,-0.1467206293181708,0.0814376124723344,9.927346556375737,,,,
Imu,215,753000000,,,,,,,,,4.431776779508648e-08,-9.689063646560615e-06,7.467350393429163e-10,0.99999999995306,-0.0248463097035929,0.0613826995102721,9.852761422320954,,,,
CarState,215,754000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,754000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0861916769368204,0.0024388458435,9.81104801667693,,,,
WheelSpeeds,215,754000000,,,,,,,,,,,,,,,,997.8715209960938,1.1940860748291016,1000.0379028320312,-0.9831913709640504
Imu,215,755000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0630086909639838,0.0910170107148348,9.922096612892071,,,,
Imu,215,756000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0756102788780688,0.0147532733047817,9.688472378841816,,,,
Imu,215,757000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0520915816600727,-0.0316211262264558,9.902689469336392,,,,
Imu,215,758000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0035301730007556,0.0723530325555873,9.722061695160798,,,,
CarState,215,759000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,759000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0517432446848784,-0.1592852479770279,9.864826092758618,,,,
WheelSpeeds,215,759000000,,,,,,,,,,,,,,,,999.20361328125,0.6585142612457275,998.9363403320312,-0.2892192602157593
Imu,215,760000000,,,,,,,,,4.431776811202931e-08,-9.689063646568149e-06,7.46735123718585e-10,0.99999999995306,-0.0048388997805142,-0.0475742837528697,9.730956261553445,,,,
Imu,215,761000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.1405236737666,-0.0314760977662937,9.778015245174062,,,,
Imu,215,762000000,,,,,,,,,4.4317768200570095e-08,-9.689063646568091e-06,7.467351474668372e-10,0.99999999995306,0.0330178086494246,-0.0789798434848527,9.925070810794328,,,,
Imu,215,763000000,,,,,,,,,4.4317768244795935e-08,-9.689063646570897e-06,7.467351592851519e-10,0.99999999995306,0.0360048602083527,0.1190953719970903,9.840479661354395,,,,
CarState,215,764000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,764000000,,,,,,,,,4.43177682899777e-08,-9.68906364657109e-06,7.46735171398497e-10,0.99999999995306,0.1127180237704166,-0.0820969775616548,9.767594433579427,,,,
WheelSpeeds,215,764000000,,,,,,,,,,,,,,,,998.6919555664062,0.9625846147537231,998.2359619140624,0.4720440804958343
Imu,215,765000000,,,,,,,,,4.4317768333232336e-08,-9.689063646573556e-06,7.467351828830302e-10,0.99999999995306,0.0109734643105222,-0.0962604427407119,9.643018887169903,,,,
Imu,215,766000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.060243943074358,-0.0222039382791491,9.69199006430225,,,,
Imu,215,767000000,,,,,,,,,0.0,0.0,0.0,1.0,0.030951440852119,-0.0554234126690733,9.711962234836117,,,,
Imu,215,768000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0531049121286474,-0.1247773491066485,9.809543518914856,,,,
CarState,215,769000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,769000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0926620571476138,-0.0110067947765849,9.75466753595501,,,,
WheelSpeeds,215,769000000,,,,,,,,,,,,,,,,999.3878173828124,0.040292415767908,999.1461791992188,-0.9902440905570984
